year,commodity,guilders
1676,meat,20
1677,meat,20
1678,meat,20
1679,meat,20
1680,meat,20
1681,meat,18.75
1682,meat,18.75
1683,meat,18.75
1684,meat,18.75
1685,meat,18.13
1686,meat,15
1687,meat,15
1688,meat,15
1689,meat,15
1690,meat,15
1691,meat,15
1692,meat,15
1693,meat,17.5
1694,meat,17.5
1695,meat,17.5
1696,meat,17.5
1697,meat,17.5
1698,meat,17.5
1699,meat,17.5
1700,meat,17.5
1701,meat,17.5
1702,meat,17.5
1703,meat,17.5
1704,meat,17.5
1705,meat,17.5
1706,meat,17.5
1707,meat,17.5
1708,meat,17.5
1709,meat,17.5
1710,meat,18.75
1711,meat,20
1712,meat,20
1713,meat,20
1714,meat,20
1715,meat,20
1716,meat,20
1717,meat,20
1718,meat,20
1719,meat,20
1720,meat,20
1721,meat,20
1722,meat,20
1723,meat,20
1724,meat,20
1725,meat,18.75
1726,meat,18.75
1727,meat,17.5
1728,meat,17.5
1729,meat,17.5
1730,meat,17.5
1731,meat,17.5
1732,meat,17.5
1733,meat,17.5
1734,meat,17.5
1735,meat,17.5
1736,meat,17.5
1737,meat,17.5
1738,meat,17.5
1739,meat,17.5
1740,meat,17.5
1741,meat,20
1742,meat,20
1743,meat,20
1744,meat,17.5
1745,meat,22.5
1746,meat,22.5
1747,meat,20
1748,meat,20
1749,meat,20
1750,meat,18
1751,meat,16
1752,meat,17
1753,meat,17
1754,meat,16
1755,meat,17
1756,meat,17
1757,meat,17
1758,meat,16
1759,meat,16
1760,meat,16
1761,meat,17
1762,meat,18
1763,meat,18
1764,meat,20
1765,meat,19
1766,meat,19
1767,meat,20
1768,meat,17
1769,meat,18
1770,meat,21
1771,meat,24
1772,meat,24
1773,meat,25
1774,meat,21
1775,meat,21
1776,meat,21
1777,meat,23
1778,meat,21
1779,meat,18
1780,meat,21
1781,meat,19
1782,meat,20
1783,meat,22
1784,meat,20
1785,meat,21
1786,meat,21
1787,meat,20
1788,meat,20
1789,meat,21
1790,meat,21
1791,meat,20
1792,meat,20
1793,meat,21
1794,meat,21
1795,meat,21
1796,meat,24
1797,meat,21
1798,meat,23
1799,meat,21
1800,meat,23
1450,paper,1.6
1451,paper,1.6
1452,paper,1.6
1453,paper,1.6
1454,paper,1.6
1455,paper,1.6
1456,paper,1.6
1457,paper,1.6
1458,paper,1.6
1459,paper,1.6
1460,paper,1.6
1461,paper,1.6
1462,paper,1.6
1463,paper,1.6
1464,paper,1.6
1465,paper,1.6
1466,paper,1.6
1467,paper,1.6
1468,paper,1.6
1469,paper,1.6
1470,paper,1.6
1471,paper,1.6
1472,paper,1.6
1473,paper,1.6
1474,paper,1.6
1475,paper,1.6
1476,paper,1.6
1477,paper,1.4
1478,paper,1.4
1479,paper,1.4
1480,paper,1.4
1481,paper,1.4
1482,paper,1.4
1483,paper,1.4
1484,paper,1.6
1485,paper,1.6
1486,paper,1.6
1487,paper,1.6
1488,paper,1.8
1489,paper,1.8
1490,paper,1.8
1491,paper,1.2
1492,paper,1.2
1493,paper,1
1494,paper,1.2
1495,paper,1.2
1496,paper,1.2
1497,paper,1.2
1498,paper,1.2
1499,paper,1.2
1500,paper,1.2
1501,paper,1.35
1502,paper,1.55
1503,paper,1.5
1504,paper,1.5
1505,paper,1.5
1506,paper,1.5
1507,paper,1.5
1508,paper,1.75
1509,paper,1.5
1510,paper,1.5
1511,paper,1.5
1512,paper,1.5
1513,paper,1.5
1514,paper,1.5
1515,paper,1.5
1516,paper,1.5
1517,paper,1.5
1518,paper,1.5
1519,paper,1.5
1520,paper,1.13
1521,paper,1.13
1522,paper,1.13
1523,paper,2
1524,paper,2
1525,paper,1.5
1526,paper,1.5
1527,paper,1.5
1528,paper,1.5
1529,paper,1.5
1530,paper,1.56
1531,paper,1.25
1532,paper,1.25
1533,paper,1.25
1534,paper,1.25
1535,paper,1.25
1536,paper,1.25
1537,paper,1.25
1538,paper,1.25
1539,paper,1.25
1540,paper,1.25
1541,paper,1.25
1542,paper,1.25
1543,paper,1.25
1544,paper,1.25
1545,paper,1.25
1546,paper,1.25
1547,paper,1.25
1548,paper,1
1549,paper,1
1550,paper,1.13
1551,paper,1.13
1552,paper,1.13
1553,paper,1.25
1554,paper,1.5
1555,paper,1.5
1556,paper,1.5
1557,paper,1.5
1558,paper,1.5
1559,paper,1.5
1560,paper,1.5
1561,paper,1.5
1562,paper,1.5
1563,paper,1.5
1564,paper,1.5
1565,paper,1.62
1566,paper,1.75
1567,paper,1.5
1568,paper,1.5
1569,paper,1.75
1570,paper,1.87
1571,paper,2
1572,paper,2.25
1573,paper,2.25
1574,paper,2.25
1575,paper,2.25
1576,paper,2.25
1577,paper,2.25
1578,paper,2.25
1579,paper,2.25
1580,paper,2.25
1581,paper,2.25
1582,paper,2.25
1583,paper,2.25
1584,paper,2.25
1585,paper,3
1586,paper,3
1587,paper,3.5
1588,paper,3.5
1589,paper,3.5
1590,paper,3.5
1591,paper,3.5
1592,paper,3.5
1593,paper,3.5
1594,paper,3.5
1595,paper,3.5
1596,paper,3.5
1597,paper,3.5
1598,paper,3.5
1599,paper,4
1600,paper,4.5
1601,paper,4.5
1602,paper,4.5
1603,paper,4.5
1604,paper,4.5
1605,paper,3
1606,paper,3
1607,paper,3
1608,paper,3
1609,paper,3
1610,paper,3
1611,paper,3
1612,paper,3.4
1613,paper,3.4
1614,paper,3.4
1615,paper,3.4
1616,paper,3.4
1617,paper,3.4
1618,paper,4.7
1619,paper,4.65
1620,paper,4.6
1621,paper,4.55
1622,paper,4.5
1623,paper,5
1624,paper,5.3
1625,paper,5
1626,paper,4.65
1627,paper,4.6
1628,paper,4.6
1629,paper,4.6
1630,paper,4.58
1631,paper,4.3
1632,paper,4.15
1633,paper,5
1634,paper,5.34
1635,paper,5.5
1636,paper,3.54
1637,paper,3.99
1638,paper,3.5
1639,paper,3.08
1640,paper,4.13
1641,paper,4.27
1642,paper,3.3
1643,paper,4.4
1644,paper,4.36
1645,paper,5.23
1646,paper,8.03
1647,paper,5.09
1648,paper,4.75
1649,paper,4.75
1650,paper,5.01
1651,paper,4.96
1652,paper,4.95
1653,paper,5.23
1654,paper,5
1655,paper,5
1656,paper,4.94
1657,paper,5.5
1658,paper,6
1659,paper,6.6
1660,paper,6
1661,paper,6
1662,paper,6
1663,paper,6
1664,paper,6
1665,paper,5.5
1666,paper,5.5
1667,paper,5.37
1668,paper,4.88
1669,paper,5.09
1670,paper,4.95
1671,paper,5.09
1672,paper,5.5
1673,paper,5.5
1674,paper,5.5
1675,paper,5.75
1676,paper,5.25
1677,paper,6
1678,paper,6
1679,paper,6
1680,paper,6
1681,paper,5.5
1682,paper,5.38
1683,paper,6
1684,paper,5.5
1685,paper,5.75
1686,paper,6
1687,paper,6
1688,paper,6
1689,paper,6
1690,paper,6
1691,paper,6
1692,paper,6
1693,paper,6
1694,paper,6
1695,paper,6
1696,paper,6
1697,paper,6
1698,paper,6
1699,paper,6
1700,paper,6
1701,paper,5.5
1702,paper,6
1703,paper,5.75
1704,paper,6
1705,paper,6
1706,paper,6
1707,paper,6
1708,paper,6
1709,paper,6
1710,paper,6
1711,paper,6
1712,paper,6
1713,paper,6
1714,paper,6
1715,paper,6.08
1716,paper,5.13
1717,paper,4.5
